AqsID,Site Name,Lat,Long
191530011,SHELDAHL,41.849433,-93.697616
190170011,"Waverly, Airport",42.743099,-92.5131
190450021,"Clinton, Rainbow Park",41.875,-90.177498
190851101,"Pisgah, Harrison County",41.668098,-95.9431
191130028,KIRKWOOD,41.910599,-91.651901
191130033,COGGON,42.2806,-91.5269
191471002,"Emmetsburg, ILCC",43.123299,-94.693298
191630014,Scott County Park,41.6992,-90.521896
191690011,SLATER,41.8829,-93.6879
191810022,Lake Ahquabi,41.2853,-93.5839
191530030,CARPENTER,41.6031,-93.643303
551330027,WAUKESHA - CLEVELAND AVE,43.0203,-88.215
270495302,Stanton,44.471901,-93.013298
550790010,MILWAUKEE 16TH ST,43.0178,-87.9333
191032001,"Iowa City, Hoover School",41.658195,-91.503471
191130040,PUBLIC HEALTH,41.9767,-91.6878
550630012,LACROSSE DOT,43.7781,-91.225
191138040,PUBLIC HEALTH 4,41.97677,-91.68766
460290002,Watertown,44.89965,-97.128802
460110003,Research Farm,44.348604,-96.807299
461270001,UC1,42.751518,-96.707208
64001,Experimental Lakes,49.6639,-93.7211
270031001,East Bethel,45.400799,-93.201103
270031002,Blaine,45.1425,-93.2139
270750005,Ely,47.9464,-91.4953
271370034,Voyageurs NP,48.4128,-92.8292
550090026,GREEN BAY UW,44.53,-87.9089
550210015,COLUMBUS,43.3144,-89.1089
550250041,MADISON EAST,43.1008,-89.3572
550270001,Horicon Wildlife Area,43.46611,-88.621109
550290004,NEWPORT,45.2378,-86.9936
550390006,FOND DU LAC,43.6878,-88.4219
550590019,CHIWAUKEE,42.5047,-87.8111
550610002,KEWAUNEE,44.4428,-87.5061
550710007,MANITOWOC,44.1386,-87.6161
550730012,LAKE DUBAY,44.7072,-89.7697
550790026,MILWAUKEE SER DNR,43.0611,-87.9125
550790085,BAYSIDE,43.1811,-87.9006
550870009,APPLETON AAL,44.3069,-88.3956
550890008,GRAFTON,43.3431,-87.9208
550890009,HARRINGTON BCH,43.4981,-87.81
551170006,SHEBOYGAN,43.665,-87.7161
551198001,PERKINSTOWN,45.2039,-90.6
551250001,TROUT LAKE,46.0481,-89.6536
551270005,LAKE GENEVA,42.58,-88.4992
270953051,Mille Lacs,46.2056,-93.7589
380171004,Fargo NW,46.933601,-96.854698
380570004,Beulah North,47.2986,-101.7669
550410007,POTAWATOMI,45.5639,-88.81
271377550,Duluth-WDSE,46.8183,-92.0892
190130009,"Waterloo, Water Tower",42.5014,-92.315804
270530962,Minneapolis-Near Road,44.9653,-93.2551
551050030,Beloit-Converse,42.51831,-89.06347
550030010,BAD RIVER TRIBAL SCHOOL - ODANAH,46.6144,-90.6986
191770006,Lake Sugema,40.693298,-92.006104
550090005,GREEN BAY E HIGH,44.5167,-87.9939
270353204,Brainerd,46.3944,-94.1433
380130004,Lostwood NWR,48.641899,-102.402199
270052013,Detroit Lakes,46.8511,-95.8467
551199991,Perkinstown,45.2066,-90.5969
